   1.00000000       22.5024891       23.1000004    
   2.00000000       22.9198856       23.1949997    
   3.00000000       23.2666473       23.2852497    
   4.00000000       23.5547733       23.3709869    
   5.00000000       23.7942200       23.4524384    
   6.00000000       23.9932518       23.5298157    
   7.00000000       24.1587276       23.6033249    
   8.00000000       24.2963428       23.6731586    
   9.00000000       24.4108219       23.7395000    
   10.0000000       24.5060863       23.8025246    
   11.0000000       24.5853920       23.8623981    
   12.0000000       24.6514416       23.9192791    
   13.0000000       24.7064800       23.9733143    
   14.0000000       24.7523670       24.0246487    
   15.0000000       24.7906494       24.0734158    
   16.0000000       24.8226109       24.1197453    
   17.0000000       24.8493195       24.1637573    
   18.0000000       24.8716564       24.2055702    
   19.0000000       24.8903599       24.2452927    
   20.0000000       24.9060364       24.2830276    
   21.0000000       24.9191933       24.3188763    
   22.0000000       24.9302559       24.3529320    
   23.0000000       24.9395695       24.3852844    
   24.0000000       24.9474258       24.4160194    
   25.0000000       24.9540672       24.4452190    
   26.0000000       24.9596939       24.4729576    
   27.0000000       24.9644718       24.4993095    
   28.0000000       24.9685421       24.5243435    
   29.0000000       24.9720173       24.5481262    
   30.0000000       24.9749966       24.5707207    
   31.0000000       24.9775581       24.5921841    
   32.0000000       24.9797668       24.6125755    
   33.0000000       24.9816799       24.6319466    
   34.0000000       24.9833450       24.6503487    
   35.0000000       24.9847984       24.6678314    
   36.0000000       24.9860744       24.6844406    
   37.0000000       24.9871979       24.7002182    
   38.0000000       24.9881916       24.7152081    
   39.0000000       24.9890766       24.7294483    
   40.0000000       24.9898682       24.7429752    
   41.0000000       24.9905777       24.7558270    
   42.0000000       24.9912167       24.7680359    
   43.0000000       24.9917946       24.7796345    
   44.0000000       24.9923210       24.7906532    
   45.0000000       24.9928017       24.8011208    
   46.0000000       24.9932423       24.8110657    
   47.0000000       24.9936447       24.8205128    
   48.0000000       24.9940166       24.8294868    
   49.0000000       24.9943619       24.8380127    
   50.0000000       24.9946823       24.8461113    
